Measurement;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0.000;20;21;20;21;23;26;24;20;20;20;20;21;25;21;20;20;20;23;26;23;20;22;24;20
0.001;25;25;19;23;25;31;30;21;20;19;20;25;30;27;20;19;20;27;32;29;20;26;33;28
0.002;28;29;20;26;28;35;36;22;20;20;20;28;35;32;21;19;20;29;36;34;20;29;39;35
0.003;31;32;19;28;31;39;41;23;20;20;20;31;38;35;21;20;20;32;39;37;20;31;44;41
0.004;34;36;18;32;34;45;46;24;20;20;20;33;41;38;21;20;20;35;43;41;20;33;48;46
0.005;38;40;17;35;38;49;52;26;20;19;20;37;46;43;21;19;20;39;48;46;20;37;54;50
0.006;42;44;17;38;40;54;58;27;21;19;19;41;51;49;21;18;20;42;53;51;18;41;61;57
0.007;46;47;17;41;43;58;63;28;20;19;18;44;55;54;21;16;18;45;58;56;18;44;67;63
0.008;50;50;16;44;45;63;70;30;20;19;18;47;60;59;20;16;18;48;62;61;18;47;72;69
0.009;54;55;16;47;47;68;76;30;20;17;17;50;64;64;20;17;17;51;67;67;18;50;79;75
0.010;58;57;16;49;50;73;82;31;19;18;17;53;69;69;19;16;17;54;72;71;18;53;85;82
0.011;61;61;16;51;53;77;88;33;18;18;18;56;73;73;20;16;17;56;76;76;17;56;91;88
0.012;65;64;19;55;55;82;93;34;19;19;17;57;78;78;20;16;18;57;80;80;18;58;97;94
0.013;69;68;19;56;58;87;99;35;17;20;18;60;83;82;19;16;17;60;85;84;18;61;102;100
0.014;72;71;20;58;60;92;104;35;18;20;19;62;88;86;18;16;18;63;89;88;20;64;107;106
0.015;75;74;20;60;63;97;109;35;19;20;20;64;92;90;19;17;20;65;93;92;20;65;113;111
0.016;78;79;20;62;66;101;113;36;20;20;20;66;96;94;20;18;20;67;98;96;20;67;118;117
0.017;81;81;20;64;68;105;117;35;20;20;20;68;100;97;20;18;20;69;102;100;20;69;122;122
0.018;83;85;20;66;70;109;122;36;20;20;20;70;103;100;20;18;20;71;106;104;20;71;126;127
0.019;86;88;20;68;72;113;126;36;20;20;20;72;106;104;20;18;20;73;109;107;20;73;130;131
0.020;88;91;20;69;74;116;130;37;20;20;20;74;110;107;20;18;20;76;112;110;20;74;135;136
0.021;91;93;19;71;75;119;133;37;20;20;21;76;112;110;20;18;20;77;115;114;20;76;139;140
0.022;93;95;19;73;77;122;137;37;20;19;20;78;114;113;20;15;20;78;117;117;19;77;142;143
0.023;95;98;18;74;78;124;141;38;20;17;18;79;116;116;20;15;20;80;120;119;18;79;144;147
0.024;98;99;18;76;78;126;144;38;19;17;19;81;118;119;19;15;20;81;121;122;18;81;147;150
0.025;100;101;18;77;79;128;147;39;18;17;19;82;120;121;16;14;20;82;123;124;18;82;149;153
0.026;102;102;19;78;80;130;151;39;15;17;19;83;122;123;17;14;18;83;125;126;18;83;151;156
0.027;104;104;17;79;81;131;152;38;15;16;18;84;124;125;17;12;19;82;127;128;19;84;153;159
0.028;106;105;19;79;81;133;155;38;15;15;19;84;125;127;17;13;19;83;128;130;19;84;155;161
0.029;107;106;20;80;82;134;157;39;15;16;18;84;127;129;16;13;20;83;129;131;19;84;157;163
0.030;108;108;20;80;82;136;159;39;16;16;19;84;129;129;16;13;18;83;131;131;20;85;158;166
0.031;110;108;20;80;83;137;160;38;14;16;20;84;130;129;15;14;20;83;132;132;20;84;159;168
0.032;110;110;20;80;83;138;161;37;15;17;20;84;131;131;15;15;20;83;133;133;20;84;160;169
0.033;110;111;20;79;84;139;161;37;15;17;21;84;131;131;16;14;20;83;134;134;21;84;160;170
0.034;110;111;20;80;84;140;161;37;16;16;20;83;132;131;17;15;20;83;134;134;21;84;161;171
0.035;110;112;21;79;84;140;162;37;17;16;21;83;132;131;17;15;21;83;135;134;20;83;161;172
0.036;111;112;20;79;84;140;162;36;16;16;21;83;132;132;18;15;21;83;135;134;21;83;160;172
0.037;110;112;20;79;84;140;162;36;16;15;21;83;132;131;17;15;21;83;134;134;21;82;160;171
0.038;110;112;20;79;84;140;162;35;15;14;21;83;131;132;17;14;21;82;134;134;20;82;159;172
0.039;110;112;20;80;83;139;161;35;16;13;21;82;130;132;17;14;21;82;134;134;20;81;158;171
0.040;110;112;20;79;82;138;161;36;14;12;20;82;129;132;17;13;20;81;133;134;20;81;157;170
0.041;110;111;19;80;82;137;161;35;14;12;20;81;129;131;15;12;20;80;132;133;20;80;155;169
0.042;110;110;19;79;81;136;161;35;13;11;20;80;127;130;15;12;20;80;130;132;20;80;153;168
0.043;110;109;19;78;80;135;160;35;12;11;20;79;126;129;14;12;20;79;129;131;20;79;152;166
0.044;109;108;20;78;80;134;159;35;12;11;20;79;125;128;13;12;20;77;128;130;20;78;150;165
0.045;108;108;20;78;79;133;158;34;12;11;20;77;124;127;14;11;20;76;126;128;20;77;148;163
0.046;108;106;20;77;78;132;156;34;11;12;20;76;123;125;14;12;20;75;125;126;20;77;146;162
0.047;106;105;21;76;77;130;155;34;11;13;20;74;121;123;14;13;20;73;123;124;20;75;145;161
0.048;106;104;21;75;77;130;153;33;10;13;21;73;120;121;13;14;20;72;121;122;21;74;143;159
0.049;104;104;21;74;77;129;150;32;12;13;21;72;118;119;14;14;21;72;120;121;21;72;142;157
0.050;103;102;21;74;77;127;148;32;13;14;21;71;117;118;15;14;21;70;119;118;21;71;140;154
0.051;101;102;21;73;76;125;145;31;13;13;21;70;115;116;15;14;21;69;117;117;21;70;138;152
0.052;100;101;21;72;76;124;143;31;13;12;21;69;113;114;15;15;21;69;115;115;21;69;135;150
0.053;98;100;21;72;74;122;140;31;13;13;22;68;111;112;15;14;21;68;113;113;21;68;133;147
0.054;97;98;21;71;74;121;138;31;13;12;21;68;109;110;15;15;21;68;112;112;21;67;131;144
0.055;96;97;20;71;73;118;135;30;14;11;21;67;107;109;16;14;21;67;109;109;21;67;129;141
0.056;94;96;20;71;73;116;132;30;14;11;21;66;105;107;15;13;21;67;108;108;21;66;126;137
0.057;93;95;20;71;72;114;130;31;13;10;21;66;103;106;15;13;21;66;105;106;20;66;123;134
0.058;93;92;20;71;71;112;127;31;12;10;21;65;100;104;14;12;20;65;103;104;21;65;120;131
0.059;91;91;20;70;69;110;125;31;11;10;21;64;98;102;13;12;20;64;100;102;20;65;118;128
0.060;90;89;20;70;69;108;122;32;10;10;21;63;97;100;13;11;20;63;98;100;20;64;115;124
0.061;89;88;20;69;69;106;120;32;10;0;21;63;94;98;13;12;20;63;96;97;20;64;112;121
0.062;87;86;21;69;68;104;117;32;11;10;21;62;92;96;13;12;20;61;94;95;20;64;109;118
0.063;87;85;21;68;68;102;113;32;11;12;21;61;91;94;13;13;20;61;91;92;21;63;106;115
0.064;84;83;22;68;68;101;111;32;10;11;21;60;89;91;12;14;21;60;89;90;21;62;104;112
0.065;83;82;21;68;68;99;107;32;11;13;21;59;87;88;13;14;21;59;87;87;21;61;102;108
0.066;82;82;21;67;68;97;104;31;12;13;22;59;85;86;14;15;21;59;86;85;21;61;98;104
0.067;81;80;22;67;69;96;99;31;13;13;22;58;83;84;15;15;22;58;83;83;21;60;96;101
0.068;79;80;22;67;69;94;96;31;14;14;22;57;81;82;15;15;22;58;82;80;22;60;93;98
0.069;78;79;22;68;69;92;93;32;14;14;22;57;78;80;15;15;22;58;79;77;22;60;90;94
0.070;77;78;22;68;69;90;90;32;13;14;22;56;77;78;16;16;22;58;77;76;22;60;88;91
0.071;76;77;21;68;70;88;87;32;15;13;22;57;75;77;17;15;22;58;76;76;22;59;85;88
0.072;75;76;21;69;70;86;84;32;14;11;22;57;73;75;16;15;22;58;75;74;21;59;82;85
0.073;74;76;21;69;70;82;82;33;15;11;22;56;71;74;17;14;21;58;73;72;21;60;79;81
0.074;74;75;21;70;70;80;80;34;14;12;21;56;70;72;16;14;21;58;71;71;21;61;76;78
0.075;74;74;21;70;70;79;77;34;12;11;22;56;68;71;15;13;21;58;69;70;21;61;73;75
0.076;74;73;21;71;70;77;75;35;12;12;21;56;67;70;15;13;21;58;68;68;21;61;71;72
0.077;74;73;21;72;71;75;73;35;13;11;21;56;66;69;13;13;21;57;67;67;21;61;68;69
0.078;73;72;22;72;71;74;71;36;13;11;21;56;65;68;14;13;21;57;66;66;21;62;66;67
0.079;73;72;22;73;72;72;69;36;12;12;21;56;65;67;15;13;21;57;64;64;21;62;64;64
0.080;73;72;22;73;72;71;67;37;13;13;22;56;64;66;15;14;21;57;63;63;21;63;61;62
0.081;73;71;22;74;73;71;65;37;12;15;22;55;63;65;15;15;21;56;62;62;22;62;59;61
0.082;72;72;22;74;75;70;62;37;13;15;22;55;63;64;14;16;22;58;63;61;22;63;58;59
0.083;72;72;22;75;76;70;60;38;15;16;23;56;63;63;16;16;22;58;63;60;22;63;56;58
0.084;72;72;22;76;77;69;58;38;16;15;22;56;62;62;16;17;22;58;62;60;22;64;55;57
0.085;72;72;23;77;78;68;57;38;16;16;23;56;62;62;18;17;22;59;62;59;22;65;54;54
0.086;71;73;22;77;79;68;56;39;17;16;23;57;62;61;18;16;22;60;61;59;22;66;53;53
0.087;72;73;22;78;80;68;55;40;16;16;23;58;61;60;19;16;22;60;61;59;23;67;51;53
0.088;72;73;22;80;81;68;54;40;16;15;23;58;60;60;19;16;22;61;60;59;22;68;50;52
0.089;72;74;21;81;82;67;54;41;18;15;23;59;60;61;19;15;22;62;60;59;22;69;49;50
0.090;72;74;22;83;83;67;54;42;17;14;22;60;59;61;19;15;22;62;60;59;22;70;49;49
0.091;73;74;22;84;83;66;54;43;16;14;22;60;59;61;17;13;22;63;59;59;21;72;48;49
0.092;74;74;22;85;84;66;54;44;15;14;22;61;59;61;16;14;22;63;59;59;21;73;47;48
0.093;75;74;22;86;85;66;54;46;15;13;22;62;59;60;17;14;21;64;58;58;21;74;47;48
0.094;75;75;22;87;86;67;54;46;15;14;22;62;58;60;16;14;22;64;58;58;21;75;47;48
0.095;76;75;22;89;87;67;54;47;15;13;22;62;58;60;16;14;22;64;57;57;21;76;47;48
0.096;77;76;23;90;89;67;54;48;14;14;22;63;59;59;15;13;21;65;57;56;22;78;48;48
0.097;77;76;23;91;90;70;55;48;14;16;23;63;59;59;15;13;22;65;57;56;22;78;48;52
0.098;78;76;23;91;91;71;55;49;15;16;23;63;59;58;14;14;22;66;56;56;23;79;49;53
0.099;78;78;23;93;92;72;56;50;16;17;23;64;58;58;15;15;22;67;56;56;23;80;50;54
0.100;78;78;23;94;94;73;56;51;16;16;23;65;58;58;18;15;23;67;57;55;22;80;53;54
0.101;78;79;23;95;95;74;57;51;17;16;24;65;58;57;18;15;23;67;57;55;22;82;54;56
0.102;78;79;24;96;96;76;60;52;16;17;23;66;59;56;19;15;23;69;57;55;23;83;55;56
0.103;78;79;23;97;97;77;61;53;18;17;23;67;59;56;19;15;23;70;57;54;22;85;57;58
0.104;79;80;22;99;99;78;62;54;17;16;24;68;58;56;18;15;23;71;57;55;23;85;58;59
0.105;78;80;22;100;100;80;64;54;17;15;23;69;57;56;18;15;24;72;56;55;23;87;60;60
0.106;79;80;22;102;100;81;65;56;17;15;23;70;57;55;18;14;23;73;56;55;22;89;61;61
0.107;79;80;22;103;101;82;68;57;16;15;23;71;56;56;18;13;23;74;55;54;22;90;62;63
0.108;79;79;22;104;102;83;69;58;15;13;23;72;55;55;16;13;22;74;54;54;22;92;64;65
0.109;79;79;22;105;103;84;72;60;14;14;23;73;55;54;15;13;22;75;53;54;22;93;65;67
0.110;79;78;22;106;103;86;73;61;15;13;23;73;55;54;15;13;22;75;53;53;22;94;68;69
0.111;79;77;23;107;104;88;75;62;14;12;23;74;54;53;15;13;22;76;52;52;22;95;69;71
0.112;78;76;23;108;105;89;78;62;14;13;22;74;53;53;15;12;22;76;51;52;22;96;71;73
0.113;78;76;23;109;105;91;80;64;14;15;23;75;54;52;15;13;22;77;50;51;22;98;73;75
0.114;77;75;23;110;106;93;82;65;12;15;23;75;53;50;14;14;22;77;49;50;23;98;76;78
0.115;76;74;24;110;108;95;84;65;13;15;24;76;53;49;14;14;23;77;50;49;23;99;78;80
0.116;75;74;24;110;109;97;85;65;14;15;25;76;52;49;15;14;23;78;50;49;23;100;80;83
0.117;74;73;24;112;109;99;87;65;15;16;25;76;52;48;16;15;24;78;49;48;23;100;83;86
0.118;72;72;24;112;110;100;89;66;16;15;25;78;51;47;17;15;24;79;49;47;23;102;85;88
0.119;71;71;24;113;111;102;91;67;15;15;25;77;50;46;16;15;24;80;48;46;23;102;87;90
0.120;70;70;23;113;112;104;93;67;15;16;25;78;49;45;16;15;24;80;47;46;23;103;90;93
0.121;69;69;23;114;112;106;96;67;16;14;25;79;49;45;16;14;24;81;46;47;23;104;92;95
0.122;67;67;23;115;112;106;97;67;15;12;25;80;47;45;16;13;24;82;47;46;23;105;94;97
